candidate_id,Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
0,<35,No,Master,1,Man,No,Dev,7,4,Sweden,51552.0,C++;Python;Git;PostgreSQL,4,0
1,<35,No,Undergraduate,1,Man,No,Dev,12,5,Spain,46482.0,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;Express;React.js;Vue.js;AWS;PostgreSQL,12,1
2,<35,No,Master,1,Man,No,Dev,15,6,Germany,77290.0,C;C++;Java;Perl;Ruby;Git;Ruby on Rails,7,0
3,<35,No,Undergraduate,1,Man,No,Dev,9,6,Canada,46135.0,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL;Git;jQuery;Laravel;Ruby on Rails;AWS;MySQL;PostgreSQL,13,0
4,>35,No,PhD,0,Man,No,NotDev,40,30,Singapore,160932.0,C++;Python,2,0
5,<35,No,Master,1,Man,No,Dev,9,2,France,38915.0,JavaScript;Python;Docker;Git;MySQL,5,0
6,>35,No,Master,1,Man,No,Dev,26,18,Germany,77831.0,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript;Docker;Git;Kubernetes;Angular;Express;Spring;AWS;Heroku;DynamoDB;PostgreSQL,17,1
7,<35,No,Master,1,Man,No,NotDev,14,5,Switzerland,81319.0,C++;Python;Docker;Git,4,0
8,>35,No,Undergraduate,1,Man,No,Dev,39,21,United Kingdom of Great Britain and Northern Ireland,68507.0,Python;Git;PostgreSQL,3,0
9,>35,No,Master,1,Man,No,Dev,20,16,Russian Federation,37752.0,Delphi;Java;SQL;Docker;Git;PostgreSQL,6,0
10,<35,No,Undergraduate,1,Man,Yes,Dev,4,2,Israel,122580.0,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL;Docker;Git;Kubernetes;Terraform;AWS;Google Cloud Platform;Microsoft Azure;DynamoDB;MongoDB;MySQL;PostgreSQL,18,1
11,<35,No,Undergraduate,1,Man,Yes,Dev,6,2,Turkey,11832.0,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL;Git;Unity 3D;jQuery,13,1
12,<35,No,Master,1,Man,No,Dev,19,10,Germany,60535.0,C;C++;Java;Python;Git,5,0
13,<35,No,Undergraduate,1,Man,No,Dev,8,0,United States of America,103000.0,Assembly;C;Java;Kotlin;Rust;Docker;Git,7,0
14,<35,No,Master,1,Man,No,NotDev,6,3,France,25944.0,Bash/Shell;C#;C++;Python;Git,5,0
15,>35,No,Undergraduate,1,Man,Yes,Dev,22,15,Brazil,60480.0,C#;C++;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Kubernetes;ASP.NET Core ;React.js;Heroku;Microsoft Azure;Microsoft SQL Server;PostgreSQL;Redis,16,1
16,<35,No,Other,1,Man,Yes,Dev,7,1,Bulgaria,20556.0,C++;SQL;Git;MongoDB;MySQL,5,0
17,<35,No,Undergraduate,1,Man,No,Dev,12,6,Greece,25944.0,C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA;Docker;Kubernetes;Angular;ASP.NET;ASP.NET Core ;Express;Svelte;AWS;DigitalOcean;Microsoft Azure;Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,25,1
18,>35,No,Master,1,Man,Yes,Dev,34,12,United Kingdom of Great Britain and Northern Ireland,64630.0,Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript;Ansible;Git;Terraform;Yarn;React.js;Spring;MySQL;SQLite,14,1
19,>35,No,Master,1,Man,No,Dev,21,16,Italy,54049.0,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Docker;Git;Angular;ASP.NET Core ;jQuery;Spring;Microsoft SQL Server;MySQL;Oracle;SQLite,17,1
20,<35,No,Other,1,Man,No,NotDev,5,3,Russian Federation,22644.0,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;Docker;Git;Django;FastAPI;Vue.js;Heroku;Oracle,12,0
21,>35,Yes,Other,1,Man,Yes,Dev,25,10,Canada,71850.0,C#;VBA;Git;ASP.NET;Microsoft SQL Server;MySQL,6,0
22,>35,No,Master,1,Man,No,Dev,20,10,Spain,58373.0,Bash/Shell;JavaScript;Node.js;TypeScript;Terraform;AWS;DynamoDB,7,1
23,>35,No,Undergraduate,1,Man,No,Dev,24,18,United Kingdom of Great Britain and Northern Ireland,129266.0,HTML/CSS;JavaScript;SQL;TypeScript;Git;Express;Gatsby;React.js;AWS;Heroku;PostgreSQL;SQLite,12,0
24,<35,No,Master,1,Man,No,NotDev,10,2,Netherlands,25944.0,Bash/Shell;C;C++;Matlab;PowerShell;Python;Git,7,0
25,>35,No,Undergraduate,1,Man,No,Dev,25,15,United States of America,105000.0,HTML/CSS;JavaScript;PHP;Git;jQuery;React.js,6,0
26,<35,No,Undergraduate,1,Man,No,NotDev,12,8,Poland,45564.0,Bash/Shell;C#;Dart;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript;Docker;Git;Unity 3D;Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Express;Flask;jQuery;Laravel;React.js;Spring;Vue.js;Google Cloud Platform;Microsoft Azure;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,39,1
27,>35,No,PhD,1,Man,No,Dev,10,8,Canada,151263.0,HTML/CSS;Python;R;Docker;Git;Flask;AWS;DynamoDB,8,0
28,>35,No,Undergraduate,1,Man,No,NotDev,10,3,Sweden,40500.0,Bash/Shell;Java;JavaScript;PHP;Python;Ansible;Git;PostgreSQL,8,0
29,<35,No,Undergraduate,0,Man,No,Dev,12,7,Switzerland,43908.0,Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Docker;Git;Yarn;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL;SQLite,24,1
30,<35,No,Master,1,Man,No,Dev,25,6,Hungary,42336.0,Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript;Docker;Git;Angular;Django;Express;jQuery;React.js;Vue.js;Google Cloud Platform;Firebase;MariaDB;MongoDB;MySQL;Oracle,21,1
31,>35,No,Other,1,Man,No,Dev,31,17,Canada,95295.0,C#;SQL;TypeScript;Docker;Kubernetes;ASP.NET Core ;AWS;Microsoft Azure;Elasticsearch;Microsoft SQL Server,10,1
32,<35,No,PhD,1,Man,No,Dev,18,1,United States of America,100000.0,Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python;Git;Google Cloud Platform,8,0
33,>35,No,Undergraduate,1,Man,No,Dev,26,14,United Kingdom of Great Britain and Northern Ireland,61398.0,C#;Clojure;Go;JavaScript;Python;SQL;Git;jQuery;Microsoft Azure;Microsoft SQL Server,10,1
34,<35,No,NoHigherEd,1,Man,Yes,NotDev,20,10,Netherlands,108098.0,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;React.js,17,1
35,<35,No,Undergraduate,1,Man,No,Dev,10,4,Poland,27336.0,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Git;Terraform;Yarn;Laravel;React.js;AWS;DigitalOcean;Google Cloud Platform;Heroku;Firebase;MongoDB;MySQL;PostgreSQL;SQLite,21,1
36,<35,No,Master,1,Man,No,Dev,10,7,Sweden,5216.0,Scala;Git;Google Cloud Platform;MongoDB,4,0
37,<35,No,Master,0,Man,No,Dev,8,3,France,151337.0,Dart;JavaScript;Node.js;Docker;Git;Django;Vue.js;Google Cloud Platform;Firebase;PostgreSQL;SQLite,11,0
38,<35,No,Other,0,Man,Yes,Dev,18,8,Germany,24648.0,C#;HTML/CSS;JavaScript;PHP;Docker;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;AWS;Microsoft Azure;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,18,1
39,<35,No,Undergraduate,1,Man,No,Dev,4,1,Pakistan,7788.0,Python;Docker;Git;Django;AWS,5,0
40,>35,Yes,Master,1,Man,No,Dev,38,26,Switzerland,134176.0,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server,14,1
41,<35,No,Undergraduate,1,Man,No,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,64630.0,Go;JavaScript;Node.js;PHP;TypeScript;Git;React.js;Microsoft SQL Server,8,1
42,<35,No,Undergraduate,1,Man,No,Dev,10,8,Spain,38915.0,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;Docker;Git;jQuery;Spring;Microsoft SQL Server;MongoDB;PostgreSQL,13,1
43,<35,No,Undergraduate,1,Man,No,Dev,8,3,Nigeria,4944.0,HTML/CSS;JavaScript;Python;Docker;Angular.js;Django;React.js;DigitalOcean;MySQL;PostgreSQL;Redis,11,0
44,<35,No,Other,0,Man,No,Dev,6,1,Germany,29508.0,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Ansible;Docker;Git;Kubernetes;Terraform;Xamarin;ASP.NET;ASP.NET Core ;Express;Flask;React.js;AWS;Microsoft Azure;Couchbase;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,33,1
45,<35,No,Master,1,Man,No,Dev,13,2,Italy,14268.0,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA;Git;jQuery;React.js;Vue.js;AWS;MySQL;Oracle;PostgreSQL,17,1
46,<35,No,Undergraduate,1,Man,No,Dev,10,2,Netherlands,43239.0,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript;Docker;Git;Angular;React.js;Spring;MariaDB;MySQL;PostgreSQL,17,1
47,<35,No,NoHigherEd,1,Man,No,Dev,3,0,Albania,48.0,HTML/CSS;JavaScript;Node.js;Git;Express;React.js;Heroku;MongoDB,8,0
48,<35,No,Undergraduate,1,Man,No,Dev,12,6,United States of America,140000.0,C#;HTML/CSS;JavaScript;SQL;VBA;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;DynamoDB;Elasticsearch;Microsoft SQL Server;SQLite,14,1
