education_id,EdLevel,candidate_id
0,Master,0
1,Undergraduate,1
2,Master,2
3,Undergraduate,3
4,PhD,4
5,Master,5
6,Master,6
7,Master,7
8,Undergraduate,8
9,Master,9
10,Undergraduate,10
11,Undergraduate,11
12,Master,12
13,Undergraduate,13
14,Master,14
15,Undergraduate,15
16,Other,16
17,Undergraduate,17
18,Master,18
19,Master,19
20,Other,20
21,Other,21
22,Master,22
23,Undergraduate,23
24,Master,24
25,Undergraduate,25
26,Undergraduate,26
27,PhD,27
28,Undergraduate,28
29,Undergraduate,29
30,Master,30
31,Other,31
32,PhD,32
33,Undergraduate,33
34,NoHigherEd,34
35,Undergraduate,35
36,Master,36
37,Master,37
38,Other,38
39,Undergraduate,39
40,Master,40
41,Undergraduate,41
42,Undergraduate,42
43,Undergraduate,43
44,Other,44
45,Master,45
46,Undergraduate,46
47,NoHigherEd,47
48,Undergraduate,48
49,Other,49
50,Other,50
51,Master,51
52,Undergraduate,52
53,Master,53
54,Undergraduate,54
55,Undergraduate,55
56,Other,56
57,Master,57
58,Undergraduate,58
59,Undergraduate,59
60,Master,60
61,Other,61
62,Master,62
63,Master,63
64,Undergraduate,64
65,Undergraduate,65
66,Undergraduate,66
67,Undergraduate,67
68,Master,68
69,Undergraduate,69
70,Master,70
71,Undergraduate,71
72,PhD,72
73,Undergraduate,73
74,Other,74
75,Master,75
76,Other,76
77,Master,77
78,Undergraduate,78
79,Undergraduate,79
80,Undergraduate,80
81,Other,81
82,Undergraduate,82
83,Undergraduate,83
84,Undergraduate,84
85,Master,85
86,Undergraduate,86
87,Undergraduate,87
88,Master,88
89,Other,89
90,Master,90
91,Undergraduate,91
92,Undergraduate,92
93,Undergraduate,93
94,Undergraduate,94
95,Master,95
96,Undergraduate,96
97,Master,97
98,Undergraduate,98
99,Undergraduate,99
100,Undergraduate,100
101,PhD,101
102,Undergraduate,102
103,Undergraduate,103
104,Undergraduate,104
105,Undergraduate,105
106,Master,106
107,Undergraduate,107
108,Undergraduate,108
109,Other,109
110,Undergraduate,110
111,Undergraduate,111
112,Master,112
113,Undergraduate,113
114,Undergraduate,114
115,Undergraduate,115
116,Master,116
117,PhD,117
118,Other,118
119,PhD,119
120,Undergraduate,120
121,Master,121
122,Undergraduate,122
123,Master,123
124,Master,124
125,Undergraduate,125
126,Master,126
127,Undergraduate,127
128,Master,128
129,Undergraduate,129
130,Other,130
131,Master,131
132,Undergraduate,132
133,Undergraduate,133
134,Undergraduate,134
135,Undergraduate,135
136,Undergraduate,136
137,Other,137
138,Other,138
139,Undergraduate,139
