recruitment_id,PreviousSalary,Employed,MentalHealth,candidate_id
0,51552.0,0,No,0
1,46482.0,1,No,1
2,77290.0,0,No,2
3,46135.0,0,No,3
4,160932.0,0,No,4
5,38915.0,0,No,5
6,77831.0,1,No,6
7,81319.0,0,No,7
8,68507.0,0,No,8
9,37752.0,0,No,9
10,122580.0,1,Yes,10
11,11832.0,1,Yes,11
12,60535.0,0,No,12
13,103000.0,0,No,13
14,25944.0,0,No,14
15,60480.0,1,Yes,15
16,20556.0,0,Yes,16
17,25944.0,1,No,17
18,64630.0,1,Yes,18
19,54049.0,1,No,19
20,22644.0,0,No,20
21,71850.0,0,Yes,21
22,58373.0,1,No,22
23,129266.0,0,No,23
24,25944.0,0,No,24
25,105000.0,0,No,25
26,45564.0,1,No,26
27,151263.0,0,No,27
28,40500.0,0,No,28
29,43908.0,1,No,29
30,42336.0,1,No,30
31,95295.0,1,No,31
32,100000.0,0,No,32
33,61398.0,1,No,33
34,108098.0,1,Yes,34
35,27336.0,1,No,35
36,5216.0,0,No,36
37,151337.0,0,No,37
38,24648.0,1,Yes,38
39,7788.0,0,No,39
40,134176.0,1,No,40
41,64630.0,1,No,41
42,38915.0,1,No,42
43,4944.0,0,No,43
44,29508.0,1,No,44
45,14268.0,1,No,45
46,43239.0,1,No,46
47,48.0,0,No,47
48,140000.0,1,No,48
49,14124.0,1,No,49
50,101916.0,0,Yes,50
51,21000.0,0,No,51
52,54000.0,1,No,52
53,200000.0,1,Yes,53
54,36324.0,1,No,54
55,38778.0,1,Yes,55
56,48600.0,1,No,56
57,59454.0,1,No,57
58,14652.0,0,No,58
59,200000.0,0,No,59
60,97288.0,1,No,60
61,75492.0,0,No,61
62,36000.0,0,No,62
63,49725.0,1,No,63
64,70047.0,1,No,64
65,98500.0,1,Yes,65
66,2340.0,1,No,66
67,115000.0,0,No,67
68,43908.0,1,No,68
69,103408.0,1,No,69
70,42000.0,1,No,70
71,105072.0,0,No,71
72,71093.0,0,No,72
73,17412.0,0,No,73
74,14844.0,0,Yes,74
75,98321.0,0,No,75
76,54049.0,1,No,76
77,115784.0,1,No,77
78,56616.0,0,No,78
79,69183.0,0,No,79
80,25944.0,1,No,80
81,60752.0,0,No,81
82,16704.0,0,No,82
83,81420.0,0,No,83
84,14280.0,0,No,84
85,84019.0,1,No,85
86,63648.0,1,No,86
87,4620.0,1,No,87
88,70000.0,0,No,88
89,91883.0,0,No,89
90,30192.0,0,No,90
91,90000.0,1,Yes,91
92,21600.0,1,No,92
93,50592.0,1,No,93
94,1512.0,1,No,94
95,193000.0,0,No,95
96,28536.0,0,Yes,96
97,96874.0,0,No,97
98,77556.0,1,No,98
99,103408.0,1,No,99
100,121979.0,0,No,100
