work_skills_id,work_id,skills_id
0,0,0
1,0,1
2,0,2
3,0,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,2
11,1,10
12,1,11
13,1,12
14,1,13
15,1,3
16,2,14
17,2,0
18,2,15
19,2,16
20,2,17
21,2,2
22,2,18
23,3,4
24,3,5
25,3,6
26,3,19
27,3,17
28,3,8
29,3,2
30,3,20
31,3,21
32,3,18
33,3,13
34,3,22
35,3,3
36,4,0
37,4,1
38,5,6
39,5,1
40,5,23
41,5,2
42,5,22
43,6,0
44,6,5
45,6,15
46,6,6
47,6,24
48,6,7
49,6,9
50,6,23
51,6,2
52,6,25
53,6,26
54,6,10
55,6,27
56,6,13
57,6,28
58,6,29
59,6,3
60,7,0
61,7,1
62,7,23
63,7,2
64,8,1
65,8,2
66,8,3
67,9,30
68,9,15
69,9,8
70,9,23
71,9,2
72,9,3
73,10,4
74,10,31
75,10,15
76,10,7
77,10,1
78,10,32
79,10,8
80,10,23
81,10,2
82,10,25
83,10,33
84,10,13
85,10,34
86,10,35
87,10,29
88,10,36
89,10,22
90,10,3
91,11,37
92,11,14
93,11,38
94,11,0
95,11,5
96,11,15
97,11,6
98,11,39
99,11,7
100,11,8
101,11,2
102,11,40
103,11,20
104,12,14
105,12,0
106,12,15
107,12,1
108,12,2
109,13,37
110,13,14
111,13,15
112,13,24
113,13,41
114,13,23
115,13,2
116,14,4
117,14,38
118,14,0
119,14,1
120,14,2
121,15,38
122,15,0
123,15,6
124,15,42
125,15,8
126,15,9
127,15,23
128,15,2
129,15,25
130,15,43
131,15,11
132,15,28
133,15,35
134,15,44
135,15,3
136,15,45
137,16,0
138,16,8
139,16,2
140,16,36
141,16,22
142,17,38
143,17,5
144,17,6
145,17,7
146,17,42
147,17,9
148,17,46
149,17,23
150,17,25
151,17,26
152,17,47
153,17,43
154,17,10
155,17,48
156,17,13
157,17,49
158,17,35
159,17,50
160,17,51
161,17,44
162,17,36
163,17,22
164,17,3
165,17,45
166,17,52
167,18,4
168,18,5
169,18,15
170,18,1
171,18,8
172,18,9
173,18,53
174,18,2
175,18,33
176,18,54
177,18,11
178,18,27
179,18,22
180,18,52
181,19,14
182,19,38
183,19,5
184,19,15
185,19,6
186,19,19
187,19,8
188,19,23
189,19,2
190,19,26
191,19,43
192,19,20
193,19,27
194,19,44
195,19,22
196,19,55
197,19,52
198,20,4
199,20,5
200,20,6
201,20,1
202,20,8
203,20,23
204,20,2
205,20,56
206,20,57
207,20,12
208,20,28
209,20,55
210,21,38
211,21,46
212,21,2
213,21,47
214,21,44
215,21,22
216,22,4
217,22,6
218,22,7
219,22,9
220,22,33
221,22,13
222,22,29
223,23,5
224,23,6
225,23,8
226,23,9
227,23,2
228,23,10
229,23,58
230,23,11
231,23,13
232,23,28
233,23,3
234,23,52
235,24,4
236,24,14
237,24,0
238,24,39
239,24,42
240,24,1
241,24,2
242,25,5
243,25,6
244,25,19
245,25,2
246,25,20
247,25,11
248,26,4
249,26,38
250,26,59
251,26,30
252,26,31
253,26,5
254,26,15
255,26,6
256,26,24
257,26,7
258,26,60
259,26,19
260,26,42
261,26,1
262,26,8
263,26,61
264,26,9
265,26,23
266,26,2
267,26,40
268,26,26
269,26,62
270,26,47
271,26,43
272,26,56
273,26,10
274,26,63
275,26,20
276,26,21
277,26,11
278,26,27
279,26,12
280,26,34
281,26,35
282,26,64
283,26,44
284,26,36
285,26,22
286,26,3
287,27,5
288,27,1
289,27,65
290,27,23
291,27,2
292,27,63
293,27,13
294,27,29
295,28,4
296,28,15
297,28,6
298,28,19
299,28,1
300,28,53
301,28,2
302,28,3
303,29,37
304,29,14
305,29,38
306,29,31
